Date,Open,High,Low,Close,Adj Close,Volume
20-04-2020,184.75,205.850006,182.300003,196.800003,194.519913,84738
21-04-2020,191.800003,192.800003,185,188.600006,186.414917,15661
22-04-2020,186,195,178.449997,190.850006,188.638855,32035
23-04-2020,189.399994,207.399994,188.350006,205.949997,203.563889,58351
24-04-2020,210.699997,234.300003,203.600006,225.800003,223.183929,105760
27-04-2020,227,231,211.100006,217.300003,214.782394,22728
28-04-2020,220.149994,225.75,212.25,219.699997,217.154587,19115
29-04-2020,222.399994,222.449997,215.050003,216.550003,214.041092,18760
30-04-2020,223,223,210.449997,212.199997,209.741486,13707
04-05-2020,211.899994,211.899994,202.949997,204.25,201.883591,13539
05-05-2020,214.649994,215,203,203.550003,201.191711,11403
06-05-2020,202.100006,219.449997,198.199997,211.149994,208.703644,27112
07-05-2020,213,223.5,210.300003,216.550003,214.041092,24146
08-05-2020,218.800003,220.25,209.100006,210.350006,207.912933,14726
11-05-2020,213.100006,215.350006,205.399994,207.449997,205.046509,46753
12-05-2020,200.050003,203.300003,195.149994,197.449997,195.162369,23379
13-05-2020,202.149994,203.649994,197.100006,198.399994,196.101364,22950
14-05-2020,199,199,190.350006,191.350006,189.133057,16896
15-05-2020,191.350006,191.350006,184.850006,185.800003,183.647354,15604
18-05-2020,190,191.949997,185.199997,189,186.810272,17643
19-05-2020,193.5,203.350006,188.649994,199.399994,197.089783,511944
20-05-2020,201,206,196.800003,199.050003,196.743851,16341
21-05-2020,199,207.850006,196,200.600006,198.275894,30284
22-05-2020,203,205.100006,196.050003,197.75,195.458908,13788
26-05-2020,207,207,194.5,195.100006,192.839615,11489
27-05-2020,202.899994,202.899994,196.300003,196.800003,194.519913,4253
28-05-2020,198.149994,207.649994,198,205.649994,203.267365,16737
29-05-2020,202.899994,219.699997,201,203.699997,201.339966,29932
01-06-2020,204,211,203.399994,204.5,202.130692,42182
02-06-2020,206.100006,213.5,206.100006,209.850006,207.418716,23931
03-06-2020,214,214.800003,210,211.5,209.049591,17006
04-06-2020,213.5,222,212.600006,219.75,217.20401,31163
05-06-2020,221.699997,226,221.199997,222.300003,219.724472,25560
08-06-2020,227,228.300003,220.350006,222.649994,220.070404,20828
09-06-2020,225,230.300003,220,221,218.439529,28668
10-06-2020,223,232,221.449997,227.600006,224.963074,25962
11-06-2020,229.25,233,226.75,228.199997,225.556107,22111
12-06-2020,223,224.850006,215.25,223.050003,220.46579,11751
15-06-2020,229.5,229.5,213.850006,218,215.474289,15780
16-06-2020,218,241.399994,218,230.100006,227.434113,87010
17-06-2020,227.199997,236.149994,226.5,230.550003,227.878891,24604
18-06-2020,232.449997,232.800003,224.550003,226.399994,223.776962,16104
19-06-2020,220.550003,231.350006,220.550003,226,223.381607,38680
22-06-2020,226.300003,228.800003,223.25,225.949997,223.332184,34014
23-06-2020,226,229.600006,224.5,225.75,223.134491,17969
24-06-2020,224,227.399994,218.149994,219.850006,217.302856,30491
25-06-2020,220,222.949997,217.25,219.649994,217.105164,10587
26-06-2020,221.699997,236,219.050003,226.5,223.875809,71279
29-06-2020,226.5,235,225.100006,233.300003,230.597031,44863
30-06-2020,234.550003,248.449997,231.5,238.600006,235.835632,172089
01-07-2020,238.899994,241.899994,233.600006,238.699997,235.934464,33522
02-07-2020,233.699997,248.199997,233.699997,236.850006,234.105896,61135
03-07-2020,237.149994,242.350006,236.449997,238.050003,235.291992,27699
06-07-2020,240,244.199997,236.649994,240.050003,237.268829,28105
07-07-2020,240.050003,243.699997,235.850006,238.100006,235.341415,14667
08-07-2020,238,238,228.350006,229.800003,227.137573,20324
09-07-2020,234.800003,237,230.100006,235.5,232.77153,33862
10-07-2020,235.850006,239.600006,232.75,233.25,230.547607,19004
13-07-2020,235.949997,238.899994,233.800003,234.850006,232.129074,15237
14-07-2020,232.850006,234.199997,228.050003,229.050003,226.396271,13658
15-07-2020,227.100006,241.600006,227.050003,233.949997,231.239487,59651
16-07-2020,239,251.399994,238.649994,243,240.184647,62816
17-07-2020,243.399994,246.050003,240.100006,240.800003,238.010132,12828
20-07-2020,247,247,242.300003,242.850006,240.036392,16430
21-07-2020,247.800003,247.800003,241.5,242.5,239.69043,12765
22-07-2020,242.5,242.850006,237.800003,239.100006,236.329834,13951
23-07-2020,240,242.800003,237.649994,238.550003,235.786209,12393
24-07-2020,238.699997,250.699997,235.699997,246.199997,243.347565,62120
27-07-2020,246.199997,247.699997,239.100006,240.300003,237.51593,18594
28-07-2020,240.050003,249.949997,240.050003,248.5,245.620926,51228
29-07-2020,248,264,248,258.899994,255.900421,95135
30-07-2020,268,271.799988,262.25,264.149994,261.0896,57798
31-07-2020,264,267.899994,260.700012,263.549988,260.496552,36037
03-08-2020,268.899994,274.5,265,268.850006,265.735168,25753
04-08-2020,272.5,274.899994,266.450012,268.75,265.636322,20544
05-08-2020,270,293,268.399994,287.25,283.921967,91315
06-08-2020,288,291.5,281.450012,289.75,286.393005,65151
07-08-2020,291.899994,293.5,284.549988,287.600006,284.267914,40140
10-08-2020,290,292.049988,285,290.299988,286.936615,53046
11-08-2020,290,290.5,272,283.049988,279.77063,41964
