Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No_of_trades
23-Apr-21,EQ,966.5,970.95,945.4,967.8,950.7,950.2,956.89,"1,081.55",490,3916517,"3,74,76,59,078.75",88645
22-Apr-21,EQ,973.6,985.5,960.65,983.4,966,967.8,970.94,"1,081.55",490,5085190,"4,93,74,06,514.00",127360
20-Apr-21,EQ,996,"1,007.50",973.35,"1,000.10",980.9,983.4,986.91,"1,081.55",490,4028636,"3,97,58,99,486.85",80344
19-Apr-21,EQ,999.1,"1,009.40",983.3,"1,010.30",996.05,"1,000.10",998.12,"1,081.55",490,2777425,"2,77,22,05,628.00",80377
16-Apr-21,EQ,998,"1,013.50",996,993.15,"1,005.00","1,010.30","1,005.79","1,081.55",490,2660763,"2,67,61,80,540.30",59313
15-Apr-21,EQ,"1,001.85","1,007.80",970.3,"1,001.85",992,993.15,992.52,"1,081.55",490,4373215,"4,34,04,86,471.65",109988
13-Apr-21,EQ,"1,045.00","1,050.25",983,"1,039.85","1,005.00","1,001.85","1,002.91","1,081.55",490,6448995,"6,46,77,68,163.90",120182
12-Apr-21,EQ,"1,051.00","1,059.05","1,016.80","1,053.00","1,039.85","1,039.85","1,035.38","1,081.55",490,7896295,"8,17,56,35,553.55",138618
09-Apr-21,EQ,"1,028.95","1,056.80","1,016.55","1,029.00","1,051.00","1,053.00","1,040.36","1,081.55",490,6029994,"6,27,33,78,015.85",110005
08-Apr-21,EQ,"1,008.00","1,049.85","1,005.00","1,002.40","1,028.55","1,029.00","1,031.44","1,081.55",490,6737118,"6,94,89,39,994.25",150807
07-Apr-21,EQ,992,"1,005.65",982.1,991.35,"1,000.20","1,002.40",996.2,"1,081.55",490,2974419,"2,96,31,06,334.15",73301
06-Apr-21,EQ,"1,006.00","1,008.00",988.55,997.7,992,991.35,998.14,"1,081.55",490,2395572,"2,39,11,25,209.15",72684
05-Apr-21,EQ,992,"1,007.20",978.2,992.15,998.6,997.7,996.23,"1,081.55",490,5118272,"5,09,89,79,277.25",110183
01-Apr-21,EQ,"1,000.00","1,007.80",986,991.45,990.2,992.15,994.99,"1,081.55",485.65,3555291,"3,53,74,85,541.65",81967
31-Mar-21,EQ,"1,023.00","1,023.00",989.2,"1,016.90",994.6,991.45,"1,000.12","1,081.55",485.65,3780505,"3,78,09,46,572.65",78230
30-Mar-21,EQ,991.5,"1,019.80",991.5,991,"1,015.50","1,016.90","1,007.12","1,081.55",485.65,4303081,"4,33,37,36,846.70",98738
26-Mar-21,EQ,977.9,997.8,977,968.7,990,991,989.03,"1,081.55",471.4,2761824,"2,73,15,18,277.95",66538
25-Mar-21,EQ,992.7,996.9,964.1,992.15,970,968.7,983.38,"1,081.55",471.4,3654840,"3,59,41,01,068.35",100760
24-Mar-21,EQ,"1,003.75","1,013.35",987.25,"1,013.85",992.4,992.15,"1,000.83","1,081.55",471.4,2749823,"2,75,21,04,878.25",65101
23-Mar-21,EQ,"1,013.55","1,021.50","1,000.55","1,013.55","1,016.00","1,013.85","1,012.77","1,081.55",471.4,3782337,"3,83,06,36,469.50",88325
22-Mar-21,EQ,989.9,"1,017.40",978.3,989.45,"1,014.90","1,013.55","1,003.22","1,081.55",471.4,3873143,"3,88,56,01,864.90",92430
19-Mar-21,EQ,992,"1,000.75",975.15,996.2,983.7,989.45,988.28,"1,081.55",471.4,6208000,"6,13,52,44,797.85",142669
18-Mar-21,EQ,"1,034.00","1,035.00",978.6,"1,020.05",999.6,996.2,"1,012.69","1,081.55",471.4,3738712,"3,78,61,50,543.45",97631
17-Mar-21,EQ,"1,024.00","1,043.20","1,015.60","1,026.55","1,020.00","1,020.05","1,031.26","1,081.55",471.4,3477295,"3,58,59,84,562.00",85451
16-Mar-21,EQ,"1,032.00","1,045.00","1,021.10","1,026.65","1,026.70","1,026.55","1,033.79","1,081.55",471.4,4797715,"4,95,98,08,413.95",115400
15-Mar-21,EQ,"1,005.00","1,029.95","1,002.00","1,003.25","1,027.00","1,026.65","1,018.39","1,081.55",471.4,5203151,"5,29,88,14,030.25",127793
12-Mar-21,EQ,"1,000.00","1,024.60",996.15,"1,008.75","1,003.00","1,003.25","1,010.69","1,081.55",471.4,4674919,"4,72,48,83,335.90",122653
10-Mar-21,EQ,"1,002.00","1,016.80",993,988.15,"1,006.15","1,008.75","1,007.48","1,081.55",471.4,5268496,"5,30,78,80,399.95",114821
09-Mar-21,EQ,973,998.5,961.55,968.5,995.25,988.15,976.42,"1,081.55",471.4,2814747,"2,74,83,74,881.30",55661
08-Mar-21,EQ,963,980,962,959.7,967.5,968.5,970.85,"1,081.55",471.4,2880739,"2,79,67,52,577.65",60454
05-Mar-21,EQ,965.2,980.9,957,968.05,961.1,959.7,967.37,"1,081.55",471.4,2618145,"2,53,27,15,941.65",57008
04-Mar-21,EQ,960,994.7,955.6,976,969,968.05,979.55,"1,081.55",471.4,5134954,"5,02,99,62,101.90",109264
03-Mar-21,EQ,972.2,980.2,961.45,967.1,974.2,976,972.31,"1,081.55",471.4,3203532,"3,11,48,39,370.60",80317
02-Mar-21,EQ,944.5,971,942,936,968,967.1,959.36,"1,081.55",471.4,3703190,"3,55,27,07,996.80",89349
01-Mar-21,EQ,935.45,957,926.35,918.85,937.95,936,941.96,"1,081.55",471.4,3429569,"3,23,05,25,595.05",78989
26-Feb-21,EQ,945,948.85,915,957.8,919.3,918.85,927.41,"1,081.55",471.4,5254937,"4,87,34,84,248.70",146104
25-Feb-21,EQ,964,969,952.25,960.05,958,957.8,959.56,"1,081.55",471.4,3682791,"3,53,38,68,588.60",121288
24-Feb-21,EQ,950,963.9,936.65,945.75,957.5,960.05,948.74,"1,081.55",471.4,1686531,"1,60,00,87,762.90",47522
23-Feb-21,EQ,952,962.75,931,950.7,945.5,945.75,948.28,"1,081.55",471.4,4120032,"3,90,69,48,276.95",108181
22-Feb-21,EQ,998.95,"1,011.00",941.9,993.95,947.4,950.7,970.6,"1,081.55",471.4,5946290,"5,77,14,98,029.75",147792
19-Feb-21,EQ,"1,013.65","1,019.20",972.65,"1,010.60",998.5,993.95,997.12,"1,081.55",471.4,4357699,"4,34,51,65,721.55",143140
18-Feb-21,EQ,982,"1,015.50",981.5,980.45,"1,013.65","1,010.60",999.29,"1,081.55",471.4,6742595,"6,73,78,01,436.90",139766
17-Feb-21,EQ,989,996.6,971.4,986.8,981.5,980.45,981.79,"1,081.55",471.4,2227724,"2,18,71,52,817.90",60444
16-Feb-21,EQ,990,"1,000.00",973.5,979.2,986.5,986.8,987.12,"1,081.55",471.4,3912433,"3,86,20,22,942.95",109772
15-Feb-21,EQ,996,996,977.5,991.2,982.9,979.2,984.46,"1,081.55",471.4,2487825,"2,44,91,67,905.60",59893
12-Feb-21,EQ,990,"1,009.00",986.25,985.6,989,991.2,997.15,"1,081.55",471.4,5863879,"5,84,71,88,678.15",121883
11-Feb-21,EQ,975,988.65,972.85,974.9,987,985.6,981.06,"1,081.55",471.4,2070435,"2,03,12,20,317.00",57714
