Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No_of_trades
23-Apr-21,EQ,483.55,487.35,474.35,486.65,475.4,475.7,481.46,494.5,173.8,13596003,"6,54,59,14,363.80",133513
22-Apr-21,EQ,471.6,494.5,471.6,470.1,486.5,486.65,486.53,494.5,173.8,42620929,"20,73,62,85,499.95",374711
20-Apr-21,EQ,476,477.55,467.8,472.75,469,470.1,471.11,477.95,173.8,17730691,"8,35,31,85,513.10",153624
19-Apr-21,EQ,463,477.95,461.1,469.2,471.5,472.75,470.56,477.95,173.8,43809855,"20,61,51,37,542.65",369723
16-Apr-21,EQ,441.7,473.65,436,430.7,469.45,469.2,464.06,473.65,173.8,109361636,"50,75,00,32,335.10",793471
15-Apr-21,EQ,418.9,434.45,415,418.95,433.7,430.7,428.6,467.45,173.8,26758891,"11,46,88,29,847.85",220999
13-Apr-21,EQ,432,437.55,412.6,432.6,421.75,418.95,420.89,467.45,173.8,20420320,"8,59,47,11,116.60",186965
12-Apr-21,EQ,450,450.1,429.4,450.1,435,432.6,435.75,467.45,173.8,15086267,"6,57,38,24,304.60",193573
09-Apr-21,EQ,442.9,451.35,440,442.1,450.9,450.1,446.5,467.45,173.8,11699385,"5,22,37,36,476.35",122731
08-Apr-21,EQ,441.95,445.95,440,438,442,442.1,442.94,467.45,173.8,12916614,"5,72,12,39,195.85",131870
07-Apr-21,EQ,425,439,423.4,427.15,437.25,438,431.67,467.45,173.8,13867650,"5,98,62,66,363.55",135260
06-Apr-21,EQ,427.95,428.9,422.35,425.45,426.8,427.15,425.99,467.45,173.8,8320520,"3,54,44,24,199.30",84993
05-Apr-21,EQ,416.45,427.9,416.2,416.4,425.9,425.45,423.14,467.45,173.8,21216395,"8,97,74,45,326.55",189433
01-Apr-21,EQ,418.85,422.85,414.35,414.15,416.7,416.4,417.72,467.45,173.8,7596943,"3,17,33,83,107.85",85649
31-Mar-21,EQ,419.8,419.8,413.35,418.1,414.2,414.15,415.37,467.45,173.8,7445134,"3,09,25,16,066.65",102143
